in order time, x, y, psiz, xdot, ydot, psidot, speed, steering 
6.35, 1.9317912302143596, 0.5887999690979581, 5.788862380637679e-05, -8.094989380908195e-07, 2.665692067822828e-07, -3.8441329646561126e-05, 0.0, 0.0
6.35, 1.9317916027993747, 0.5887999690966433, 5.7935338112756726e-05, -8.098597871250665e-07, 2.6654958251426206e-07, -3.8441124015538365e-05, 0.0, 0.0
6.36, 1.9317934657183817, 0.5887999690900733, 5.816907753183363e-05, -8.116643367663467e-07, 2.6645141309848087e-07, -3.844009648827488e-05, 0.0, 0.0
6.37, 1.9317953286272722, 0.5887999690835098, 5.8403096620895315e-05, -8.134693517228319e-07, 2.663532462737074e-07, -3.843907060401193e-05, 0.0, 0.0
6.38, 1.9317971915260426, 0.5887999690769529, 5.863739512020115e-05, -8.152748110948718e-07, 2.662550494325545e-07, -3.8438046204725945e-05, 0.0, 0.0
6.39, 1.9317990544146895, 0.5887999690704024, 5.887197281549996e-05, -8.170807053334912e-07, 2.6615686428358864e-07, -3.8437023440871556e-05, 0.0, 0.0
6.4, 1.9318009172932094, 0.5887999690638589, 5.910682948671314e-05, -8.188871679911476e-07, 2.6605864011559774e-07, -3.843600218352425e-05, 0.0, 0.0
6.41, 1.931802780161597, 0.5887999690573219, 5.934196493168904e-05, -8.206939918015892e-07, 2.659603796437798e-07, -3.8434982437693973e-05, 0.0, 0.0
6.42, 1.9318046430198503, 0.5887999690507916, 5.957737892530617e-05, -8.225013101838892e-07, 2.6586211954602686e-07, -3.8433964198560935e-05, 0.0, 0.0
6.43, 1.931806505867966, 0.5887999690442678, 5.981307132196016e-05, -8.243092368740812e-07, 2.657638408708661e-07, -3.843294754138818e-05, 0.0, 0.0
6.44, 1.9318083687059384, 0.5887999690377506, 6.0049041847185426e-05, -8.261175452089131e-07, 2.656655456110425e-07, -3.84319324425254e-05, 0.0, 0.0
6.45, 1.9318102315337657, 0.5887999690312402, 6.0285290295652333e-05, -8.279263233409604e-07, 2.655672297408422e-07, -3.843091884142919e-05, 0.0, 0.0
6.46, 1.931812094351443, 0.5887999690247365, 6.052181646829727e-05, -8.297355467492022e-07, 2.6546888508406795e-07, -3.842990682235192e-05, 0.0, 0.0
6.47, 1.9318139571589668, 0.5887999690182392, 6.075862013888348e-05, -8.315453085335639e-07, 2.653705663904375e-07, -3.842889640582185e-05, 0.0, 0.0
6.48, 1.9318158199563333, 0.5887999690117487, 6.099570110462424e-05, -8.33355430500133e-07, 2.6527219511929005e-07, -3.842788740557672e-05, 0.0, 0.0
6.49, 1.931817682743539, 0.5887999690052648, 6.12330591897541e-05, -8.35166090431557e-07, 2.651738415224405e-07, -3.842688007606559e-05, 0.0, 0.0
6.5, 1.9318195455205804, 0.5887999689987878, 6.147069407339365e-05, -8.369772148854716e-07, 2.650754359650341e-07, -3.842587431303157e-05, 0.0, 0.0
6.51, 1.9318214082874539, 0.5887999689923176, 6.170860561023104e-05, -8.387887488925556e-07, 2.6497700247766836e-07, -3.842486981102345e-05, 0.0, 0.0
6.52, 1.9318232710441559, 0.5887999689858538, 6.194679366650278e-05, -8.406008158281858e-07, 2.6487858305678056e-07, -3.842386697511217e-05, 0.0, 0.0
6.53, 1.931825133790683, 0.5887999689793968, 6.218525794182971e-05, -8.424135258882856e-07, 2.647801446510943e-07, -3.842286578901571e-05, 0.0, 0.0
6.54, 1.9318269965270283, 0.5887999689729466, 6.24239982168594e-05, -8.442263456955306e-07, 2.6468164646683194e-07, -3.842186601403262e-05, 0.0, 0.0
6.55, 1.9318288592531927, 0.588799968966503, 6.266301434156818e-05, -8.460398086509893e-07, 2.64583181701211e-07, -3.8420867750805925e-05, 0.0, 0.0
6.56, 1.93183072196917, 0.5887999689600661, 6.290230608493834e-05, -8.478537763835763e-07, 2.6448468307436377e-07, -3.841987110842162e-05, 0.0, 0.0
6.57, 1.931832584674957, 0.5887999689536362, 6.314187323110103e-05, -8.496681675255449e-07, 2.6438615910323536e-07, -3.8418875931092535e-05, 0.0, 0.0
6.58, 1.9318344473705504, 0.5887999689472128, 6.338171559579609e-05, -8.514830320946649e-07, 2.642876344675757e-07, -3.841788231624766e-05, 0.0, 0.0
6.59, 1.931836310055946, 0.5887999689407962, 6.362183290425557e-05, -8.532983238114685e-07, 2.6418908068446206e-07, -3.8416890233186545e-05, 0.0, 0.0
6.6, 1.9318381727311398, 0.5887999689343864, 6.386222500760527e-05, -8.551141576435071e-07, 2.640905085483196e-07, -3.841589971210674e-05, 0.0, 0.0
6.61, 1.931840035396129, 0.5887999689279834, 6.410289165348667e-05, -8.56930367831312e-07, 2.6399191933130545e-07, -3.841491058364657e-05, 0.0, 0.0
6.62, 1.9318418980509096, 0.5887999689215871, 6.434383268231803e-05, -8.587470401785887e-07, 2.638933236004944e-07, -3.8413923083439757e-05, 0.0, 0.0
6.63, 1.9318437606954775, 0.5887999689151976, 6.458504783337769e-05, -8.605642581534006e-07, 2.6379470974459966e-07, -3.841293713260745e-05, 0.0, 0.0
6.64, 1.9318456233298296, 0.588799968908815, 6.482653692929057e-05, -8.623819191146262e-07, 2.636960680613246e-07, -3.8411952623147705e-05, 0.0, 0.0
6.65, 1.9318474859539618, 0.5887999689024392, 6.506829975760793e-05, -8.641999941905306e-07, 2.635974205755672e-07, -3.841096964865537e-05, 0.0, 0.0
