in order time, x, y, psix, psiy, psiz, xdot, ydot, psidot
13.26, 1.9330533655002304, 0.5887999665715811, -3.766721833357405e-05, 0.002969820975017549, 0.00027679561247366237, -2.0668351484167617e-06, 1.9493648609579523e-07, -3.827854365342031e-05, 0.0, 0.0
13.27, 1.9330544791029058, 0.5887999665713746, -3.7667289800398506e-05, 0.0029698635993144593, 0.000277033434898415, -2.068051064608279e-06, 1.9487110579549367e-07, -3.8278411260148077e-05, 0.0, 0.0
13.28, 1.9330563350980023, 0.5887999665710393, -3.76674091439875e-05, 0.0029699346455434425, 0.000277429947823127, -2.070077792415805e-06, 1.9476204698564395e-07, -3.827819127722388e-05, 0.0, 0.0
13.29, 1.9330581910813942, 0.5887999665707151, -3.7667528788699734e-05, 0.002970005698953376, 0.00027782663826157793, -2.072104862621858e-06, 1.9465303384386695e-07, -3.827797269184336e-05, 0.0, 0.0
13.3, 1.9330600470530785, 0.5887999665704023, -3.766764871805429e-05, 0.0029700767595037675, 0.0002782235061266035, -2.0741322443578467e-06, 1.945440181361866e-07, -3.8277755157336565e-05, 0.0, 0.0
13.31, 1.9330619030130527, 0.5887999665701006, -3.7667768930786614e-05, 0.0029701478271809303, 0.00027862055130950617, -2.07615998494551e-06, 1.9443497733719993e-07, -3.8277538531646455e-05, 0.0, 0.0
13.32, 1.933063758961313, 0.5887999665698102, -3.766788943749105e-05, 0.002970218901984565, 0.0002790177737035924, -2.0781880464244634e-06, 1.9432591530675306e-07, -3.827732290452919e-05, 0.0, 0.0
13.33, 1.9330656148978569, 0.5887999665695309, -3.7668010232586e-05, 0.0029702899838761534, 0.00027941517302670617, -2.080216520084177e-06, 1.9421687286921672e-07, -3.827710868704004e-05, 0.0, 0.0
13.34, 1.933067470822681, 0.5887999665692629, -3.7668131306735246e-05, 0.002970361072832617, 0.0002798127492214175, -2.0822452978208855e-06, 1.9410784109200338e-07, -3.827689531524273e-05, 0.0, 0.0
13.35, 1.9330693267357826, 0.5887999665690059, -3.766825268874106e-05, 0.0029704321688664584, 0.00028021050221499087, -2.0842744665531794e-06, 1.9399876374781916e-07, -3.827668294068436e-05, 0.0, 0.0
13.36, 1.9330711826371585, 0.5887999665687604, -3.766837434188708e-05, 0.0029705032719581585, 0.0002806084318527017, -2.0863038588965607e-06, 1.9388969077845e-07, -3.8276471730401605e-05, 0.0, 0.0
13.37, 1.9330730385268045, 0.5887999665685262, -3.7668496281706546e-05, 0.002970574382069602, 0.00028100653790783734, -2.0883336319693798e-06, 1.93780645330008e-07, -3.827626174707678e-05, 0.0, 0.0
13.38, 1.93307489440472, 0.5887999665683029, -3.766861851368319e-05, 0.0029706454992075885, 0.0002814048203016611, -2.0903638363663104e-06, 1.9367156437470717e-07, -3.827605241425086e-05, 0.0, 0.0
13.39, 1.9330767502709, 0.5887999665680911, -3.766874103141383e-05, 0.0029707166233629897, 0.0002818032789142629, -2.092394357117443e-06, 1.9356252434872616e-07, -3.8275844493366027e-05, 0.0, 0.0
13.4, 1.9330786061253427, 0.5887999665678907, -3.7668863837550535e-05, 0.002970787754483567, 0.00028220191355499125, -2.0944252222044907e-06, 1.934534070368976e-07, -3.8275637566524974e-05, 0.0, 0.0
13.41, 1.9330804619680444, 0.5887999665677014, -3.7668986925972545e-05, 0.0029708588925823408, 0.0002826007241239951, -2.096456430134751e-06, 1.933442670246928e-07, -3.827543144109043e-05, 0.0, 0.0
13.42, 1.933082317799002, 0.5887999665675232, -3.766911030635757e-05, 0.002970930037634259, 0.0002829997105040661, -2.0984878982182654e-06, 1.932351997025431e-07, -3.827522680459286e-05, 0.0, 0.0
13.43, 1.9330841736182132, 0.5887999665673564, -3.7669233963942886e-05, 0.0029710011896249542, 0.0002833988725094054, -2.100519830710375e-06, 1.9312609171044866e-07, -3.827502304155895e-05, 0.0, 0.0
13.44, 1.9330860294256738, 0.588799966567201, -3.766935791633704e-05, 0.002971072348521373, 0.00028379821002594687, -2.1025520069124033e-06, 1.9301698203770363e-07, -3.827482034529226e-05, 0.0, 0.0
13.45, 1.933087885221382, 0.5887999665670567, -3.7669482149121465e-05, 0.0029711435143413584, 0.0002841977229661287, -2.10458453052612e-06, 1.9290787006192854e-07, -3.8274618634093164e-05, 0.0, 0.0
13.46, 1.933089741005334, 0.5887999665669239, -3.766960666636309e-05, 0.0029712146870182854, 0.0002845974110930669, -2.106617496665464e-06, 1.927987365265781e-07, -3.827441810328742e-05, 0.0, 0.0
13.47, 1.933091596777527, 0.5887999665668023, -3.7669731476892086e-05, 0.0029712858665640125, 0.00028499727432598055, -2.1086506824349763e-06, 1.9268960067673554e-07, -3.8274218655892674e-05, 0.0, 0.0
13.48, 1.9330934525379586, 0.5887999665666919, -3.766985656992352e-05, 0.0029713570529660608, 0.00028539731255531996, -2.1106842565574396e-06, 1.925804747304869e-07, -3.827402005620677e-05, 0.0, 0.0
13.49, 1.933095308286625, 0.5887999665665931, -3.766998193613066e-05, 0.0029714282462085916, 0.0002857975256088473, -2.112718205785801e-06, 1.9247133845869488e-07, -3.827382268557322e-05, 0.0, 0.0
13.5, 1.9330971640235237, 0.5887999665665054, -3.767010759135712e-05, 0.0029714994462671685, 0.0002861979133566139, -2.1147524182008786e-06, 1.923621778628898e-07, -3.827362640466061e-05, 0.0, 0.0
13.51, 1.9330990197486504, 0.5887999665664287, -3.7670233534922354e-05, 0.0029715706531362736, 0.0002865984756228581, -2.116787026785436e-06, 1.922530382358444e-07, -3.8273431138968606e-05, 0.0, 0.0
