in order time, x, y, psi, xdot, ydot, psidot
2.2, 1.9310011002057859, 0.5887999723790797, -1.4113348401861733e-05, -1.0218005234483951e-07, 3.06832307535062e-07, -3.9361821763384274e-05, 0.0, 0.0
2.2, 1.9310024068936051, 0.5887999723730809, -1.4052960610714231e-05, -1.0321851957469075e-07, 3.0677069951536945e-07, -3.936050341414273e-05, 0.0, 0.0
2.3, 1.9310210734618283, 0.5887999722875302, -1.3168247084162673e-05, -1.1808922666036326e-07, 3.0588873301366476e-07, -3.934175259090673e-05, 0.0, 0.0
2.4, 1.9310397392780476, 0.5887999722022593, -1.2242564186038766e-05, -1.3302537100532536e-07, 3.050033467196211e-07, -3.932315760953845e-05, 0.0, 0.0
2.5, 1.9310584043376733, 0.5887999721172783, -1.1276214492141747e-05, -1.480267807297598e-07, 3.0411455578180267e-07, -3.930472096161424e-05, 0.0, 0.0
2.6, 1.9310770686361214, 0.5887999720325963, -1.0269499192970424e-05, -1.6309284591836367e-07, 3.0322248275412353e-07, -3.9286445413469714e-05, 0.0, 0.0
2.7, 1.9310957321688222, 0.5887999719482235, -9.22271775894257e-06, -1.78223725480752e-07, 3.0232708267327116e-07, -3.926833350340991e-05, 0.0, 0.0
2.8, 1.9311143949312055, 0.5887999718641697, -8.136167335756677e-06, -1.9341852452767314e-07, 3.014283918234672e-07, -3.9250387744669846e-05, 0.0, 0.0
2.9, 1.9311330569187206, 0.5887999717804445, -7.010143866075447e-06, -2.0867750810310884e-07, 3.005264703558974e-07, -3.92326102452021e-05, 0.0, 0.0
3.0, 1.931151718126821, 0.5887999716970581, -5.844940983997756e-06, -2.2400009791576515e-07, 2.996213116243433e-07, -3.9215003224998e-05, 0.0, 0.0
3.1, 1.9311703785509744, 0.5887999716140205, -4.6408507001184036e-06, -2.393861241718569e-07, 2.987129511711323e-07, -3.9197568336267463e-05, 0.0, 0.0
3.2, 1.931189038186659, 0.5887999715313407, -3.398162454663176e-06, -2.5483508076841205e-07, 2.978014634134756e-07, -3.9180307455372875e-05, 0.0, 0.0
3.3, 1.9312076970293648, 0.5887999714490287, -2.117164132759136e-06, -2.7034674738093956e-07, 2.968868388042463e-07, -3.9163221985982965e-05, 0.0, 0.0
3.4, 1.9312263550745934, 0.5887999713670944, -7.981416274851641e-07, -2.859208264312067e-07, 2.9596912286388955e-07, -3.914631322463467e-05, 0.0, 0.0
3.5, 1.9312450123178624, 0.5887999712855473, 5.586210077548819e-07, -3.015569331726983e-07, 2.9504835585325006e-07, -3.9129581870499914e-05, 0.0, 0.0
3.6, 1.931263668754701, 0.5887999712043971, 1.952842047823689e-06, -3.1725486495640023e-07, 2.941245370282094e-07, -3.9113029179022e-05, 0.0, 0.0
3.7, 1.9312823243806485, 0.5887999711236538, 3.3842413716174874e-06, -3.330141420645116e-07, 2.9319774490584697e-07, -3.9096655869781994e-05, 0.0, 0.0
3.8, 1.931300979191263, 0.5887999710433264, 4.852541350570229e-06, -3.488345123443771e-07, 2.92267945998683e-07, -3.908046215166418e-05, 0.0, 0.0
3.9, 1.9313196331821139, 0.588799970963425, 6.357465595300349e-06, -3.647156353972264e-07, 2.9133524721302426e-07, -3.906444876921946e-05, 0.0, 0.0
4.0, 1.9313382863487845, 0.5887999708839593, 7.89874010861909e-06, -3.8065722750071375e-07, 2.903996304638246e-07, -3.90486159057045e-05, 0.0, 0.0
4.1, 1.9313569386868752, 0.5887999708049387, 9.47609243882665e-06, -3.966589352141737e-07, 2.894611215197422e-07, -3.903296360633408e-05, 0.0, 0.0
4.2, 1.9313755901919967, 0.5887999707263724, 1.108925248633703e-05, -4.1272048169886015e-07, 2.885197458847816e-07, -3.901749209115965e-05, 0.0, 0.0
4.3, 1.9313942408597773, 0.5887999706482705, 1.2737951593373215e-05, -4.288413899358767e-07, 2.875756067369731e-07, -3.9002201522239905e-05, 0.0, 0.0
4.4, 1.931412890685861, 0.5887999705706425, 1.4421923320984712e-05, -4.4502150671650587e-07, 2.8662864515009294e-07, -3.898709125946603e-05, 0.0, 0.0
4.5, 1.931431539665903, 0.5887999704934972, 1.6140903422129574e-05, -4.6126035132911295e-07, 2.856789456243241e-07, -3.897216156979912e-05, 0.0, 0.0
4.6, 1.931450187795577, 0.5887999704168441, 1.7894628732115638e-05, -4.775576670431616e-07, 2.847265382389551e-07, -3.895741193890728e-05, 0.0, 0.0
4.7, 1.931468835070571, 0.588799970340693, 1.9682838452566757e-05, -4.939133532170972e-07, 2.8377138991531314e-07, -3.894284186792176e-05, 0.0, 0.0
4.8, 1.9314874814865866, 0.5887999702650528, 2.15052732341952e-05, -5.103265099560422e-07, 2.828136246383676e-07, -3.8928451381543976e-05, 0.0, 0.0
4.9, 1.9315061270393445, 0.588799970189933, 2.336167616238219e-05, -5.267974519608174e-07, 2.8185322560020484e-07, -3.8914239853963534e-05, 0.0, 0.0
5.0, 1.9315247717245785, 0.5887999701153427, 2.525179178316317e-05, -5.43325587370959e-07, 2.808901876134935e-07, -3.89002064708603e-05, 0.0, 0.0
5.1, 1.9315434155380378, 0.5887999700412907, 2.717536654604803e-05, -5.599104765864236e-07, 2.799246082344316e-07, -3.888635121583e-05, 0.0, 0.0
5.2, 1.9315620584754867, 0.5887999699677863, 2.913214857621755e-05, -5.765519114043713e-07, 2.7895647051886873e-07, -3.887267294044305e-05, 0.0, 0.0
5.3, 1.9315807005327081, 0.5887999698948384, 3.112188788506093e-05, -5.932495920152271e-07, 2.7798582681997e-07, -3.885917139568541e-05, 0.0, 0.0
